,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,AAPL,AMZN,MSFT,AAPL,AMZN,MSFT,AAPL,AMZN,MSFT,AAPL,AMZN,MSFT,AAPL,AMZN,MSFT,AAPL,AMZN,MSFT
Date,,,,,,,,,,,,,,,,,,
2018-10-01,54.342041015625,100.21800231933594,109.31069946289062,56.814998626708984,100.21800231933594,115.61000061035156,57.35499954223633,101.65950012207031,115.68000030517578,56.587501525878906,100.18000030517578,114.7300033569336,56.98749923706055,101.09950256347656,114.75,94403200,69210000,18883100
2018-10-02,54.825069427490234,98.56549835205078,108.8757553100586,57.31999969482422,98.56549835205078,115.1500015258789,57.5,100.66950225830078,115.83999633789062,56.657501220703125,98.28849792480469,114.44000244140625,56.8125,99.99949645996094,115.30000305175781,99152800,108014000,20787200
2018-10-03,55.49220275878906,97.63800048828125,108.8946762084961,58.01750183105469,97.63800048828125,115.16999816894531,58.36750030517578,99.48500061035156,116.18000030517578,57.44499969482422,97.4905014038086,114.93000030517578,57.51250076293945,99.08499908447266,115.41999816894531,114619200,105062000,16648000
2018-10-04,54.516597747802734,95.47100067138672,106.64435577392578,56.997501373291016,95.47100067138672,112.79000091552734,58.087501525878906,97.80000305175781,114.76000213623047,56.682498931884766,94.82849884033203,111.62999725341797,57.69499969482422,97.44999694824219,114.61000061035156,128168000,145140000,34821700
2018-10-05,53.631858825683594,94.48249816894531,106.02031707763672,56.0724983215332,94.48249816894531,112.12999725341797,57.102500915527344,96.4540023803711,113.16999816894531,55.14500045776367,93.1415023803711,110.63999938964844,56.9900016784668,95.89949798583984,112.62999725341797,134322000,136446000,29068900
2018-10-08,53.50751876831055,93.22100067138672,104.81005859375,55.942501068115234,93.22100067138672,110.8499984741211,56.20000076293945,95.0999984741211,112.02999877929688,55.04999923706055,91.53299713134766,109.33999633789062,55.5525016784668,93.69999694824219,111.66000366210938,118655600,147864000,29640600
2018-10-09,54.24878692626953,93.51599884033203,106.14324951171875,56.717498779296875,93.51599884033203,112.26000213623047,56.817501068115234,94.83399963378906,113.08000183105469,55.5625,92.61599731445312,110.80000305175781,55.90999984741211,92.99949645996094,111.13999938964844,107564000,95458000,26198600
2018-10-10,51.73564910888672,87.76249694824219,100.37561798095703,54.09000015258789,87.76249694824219,106.16000366210938,56.587501525878906,92.9280014038086,111.5,54.01250076293945,87.72049713134766,105.79000091552734,56.3650016784668,92.89450073242188,111.23999786376953,167962400,219778000,61376300
